Date,Gold,Inflation,Exchnage_rate,Petrochemical,Oil,dominant_score
2021-06-24,18.933332,0.0,3.746853,71.900002,29.090908,1
2021-06-27,18.933332,0.037000000000000005,3.746853,72.0,29.049585,1
2021-06-28,19.633333,0.0173,3.743459,72.900002,29.049585,1
2021-06-29,19.966665,0.0401,3.746674,72.400002,29.008265,1
2021-06-30,20.766666,0.0144,3.745914,72.599998,29.090908,1
2021-07-01,21.066666,0.0123,3.746231,72.599998,29.008265,1
2021-07-04,21.366667,-0.004699999999999999,3.746231,71.5,28.925619,1
2021-07-05,21.166666,0.009399999999999999,3.7499,71.300003,28.925619,1
2021-07-06,21.733334,0.0219,3.746576,70.199997,28.884296,1
2021-07-07,21.9,0.0,3.746436,70.5,28.842976,0
2021-07-08,22.0,0.0,3.74626,69.900002,28.801653,1
2021-07-11,21.966665,-0.0242,3.74626,69.699997,28.801653,1
2021-07-12,21.4,-0.009399999999999999,3.7505,67.5,28.595041,1
2021-07-13,21.333332,0.015600000000000001,3.746839,68.0,28.595041,1
2021-07-14,21.533333,0.0079,3.746975,68.300003,28.677685,0
2021-07-15,21.666666,-0.0125,3.74624,68.0,28.842976,1
2021-07-25,21.6,0.051399999999999994,3.74624,68.5,28.842976,1
2021-07-26,22.6,0.0147,3.7502,70.0,28.842976,0
2021-07-27,22.833332,0.0074,3.746804,68.300003,28.719007,1
2021-07-28,22.766666,-0.005699999999999999,3.747155,68.0,28.677685,1
2021-07-29,22.700001,0.018799999999999997,3.746544,68.199997,28.801653,0
2021-08-01,23.299999,-0.0116,3.746544,68.900002,28.76033,0
2021-08-02,23.0,-0.0043,3.75,68.300003,28.719007,1
2021-08-03,22.666666,0.0148,3.7466,69.300003,28.884296,1
2021-08-04,23.266666,0.0013,3.746402,69.900002,28.925619,1
2021-08-05,23.0,-0.0258,3.74594,70.300003,28.884296,1
2021-08-08,22.733334,0.025099999999999997,3.74594,70.400002,28.925619,1
2021-08-09,23.133333,0.019799999999999998,3.7497,69.5,29.008265,1
2021-08-10,23.666666,0.0101,3.745915,69.599998,29.008265,1
2021-08-11,24.0,0.0346,3.745937,69.900002,29.049585,1
2021-08-12,24.833332,-0.013300000000000001,3.746056,69.599998,29.132231,0
2021-08-15,24.466665,0.013500000000000002,3.746056,69.099998,29.049585,0
2021-08-16,24.666666,-0.0052,3.75,69.099998,29.008265,0
2021-08-17,24.6,0.0,3.746126,69.099998,28.925619,0
2021-08-18,24.833332,-0.0219,3.746236,69.800003,29.049585,1
2021-08-19,23.833332,-0.0356,3.746148,68.599998,28.966942,1
2021-08-22,23.366667,-0.0129,3.746148,68.099998,28.884296,1
2021-08-23,22.966665,-0.0279,3.7498,67.300003,28.842976,0
2021-08-24,22.666666,0.0403,3.745855,67.0,28.595041,1
2021-08-25,23.299999,0.0043,3.746113,66.699997,28.719007,1
2021-08-26,23.5,-0.0171,3.7464,66.699997,28.76033,1
2021-08-29,23.066666,0.0174,3.7464,66.5,28.719007,1
2021-08-30,23.266666,0.0146,3.7501,67.0,28.842976,0
2021-08-31,23.700001,0.0253,3.746387,67.400002,28.842976,1
2021-09-01,24.366667,-0.0058,3.74656,67.800003,28.966942,1
2021-09-02,24.1,0.009899999999999999,3.746463,67.699997,28.925619,1
2021-09-05,24.366667,0.0025,3.746463,67.699997,28.925619,1
2021-09-06,24.466665,0.0016,3.7497,67.699997,28.966942,1
2021-09-07,24.466665,0.0327,3.74623,68.5,28.925619,1
2021-09-08,25.233334,0.028900000000000002,3.746159,68.300003,28.966942,1
2021-09-09,26.0,-0.0027,3.746013,68.0,28.925619,1
2021-09-12,26.0,0.0143,3.746013,68.099998,28.925619,1
2021-09-13,26.333332,-0.0076,3.7501,67.599998,28.884296,1
2021-09-14,26.0,-0.0027,3.746497,67.800003,28.884296,0
2021-09-15,26.033333,-0.0012,3.746453,67.599998,28.925619,0
2021-09-16,25.866667,0.0127,3.74625,68.5,29.049585,1
